"Original Url","Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://synergyhealth.org/category/spine/","https://synergyhealth.org/category/spine/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","0","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.171","","https://synergyhealth.org/patient-center/learning-hub/","HTTP Redirect","","","1.1","","","","","","https://synergyhealth.org/category/spine/","2026-08-11 14:04:46"
"https://synergyhealth.org/conditions-we-treat/","https://synergyhealth.org/conditions-we-treat/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","0","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.207","","https://synergyhealth.org/conditions/","HTTP Redirect","","","1.1","","","","","","https://synergyhealth.org/conditions-we-treat/","2026-08-11 14:04:46"
"https://synergyhealth.org/conditions-we-treat/arthritis/","https://synergyhealth.org/conditions-we-treat/arthritis/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","0","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.179","","https://synergyhealth.org/arthritis-awareness/","HTTP Redirect","","","1.1","","","","","","https://synergyhealth.org/conditions-we-treat/arthritis/","2026-08-11 14:04:46"
"https://synergyhealth.org/conditions-we-treat/facial-pain/","https://synergyhealth.org/conditions-we-treat/facial-pain/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","0","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.548","","","","","","1.1","","","","","","https://synergyhealth.org/conditions-we-treat/facial-pain/","2026-08-11 14:04:46"
"https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/","https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","0","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.181","","https://synergyhealth.org/specialty/foot-ankle-specialists/","HTTP Redirect","","","1.1","","","","","","https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/","2026-08-11 14:04:46"
"https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/achilles-tendon/","https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/achilles-tendon/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","0","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.225","","https://synergyhealth.org/conditions/achilles-tendinitis/","HTTP Redirect","","","1.1","","","","","","https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/achilles-tendon/","2026-08-11 14:04:47"
"https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/adult-acquired-flatfoot/","https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/adult-acquired-flatfoot/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","0","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.203","","https://synergyhealth.org/conditions/flatfoot/","HTTP Redirect","","","1.1","","","","","","https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/adult-acquired-flatfoot/","2026-08-11 14:04:47"
"https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/ankle-sprain/","https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/ankle-sprain/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","0","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.526","","","","","","1.1","","","","","","https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/ankle-sprain/","2026-08-11 14:04:47"
"https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/arthritis-of-the-foot-and-ankle/","https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/arthritis-of-the-foot-and-ankle/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","0","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.188","","https://synergyhealth.org/specialty/foot-ankle-specialists/","HTTP Redirect","","","1.1","","","","","","https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/arthritis-of-the-foot-and-ankle/","2026-08-11 14:04:47"
"https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/bowed-legs/","https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/bowed-legs/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","0","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.228","","https://synergyhealth.org/specialty/foot-ankle-specialists/","HTTP Redirect","","","1.1","","","","","","https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/bowed-legs/","2026-08-11 14:04:47"
"https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/broken-ankle/","https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/broken-ankle/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","0","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","2.246","","https://synergyhealth.org/conditions/ankle-fracture/","HTTP Redirect","","","1.1","","","","","","https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/broken-ankle/","2026-08-11 14:04:47"
"https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/bunions/","https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/bunions/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","0","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.147","","https://synergyhealth.org/conditions/bunions/","HTTP Redirect","","","1.1","","","","","","https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/bunions/","2026-08-11 14:04:47"
"https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/chronic-lateral-ankle-pain/","https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/chronic-lateral-ankle-pain/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","0","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.214","","https://synergyhealth.org/specialty/foot-ankle-specialists/","HTTP Redirect","","","1.1","","","","","","https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/chronic-lateral-ankle-pain/","2026-08-11 14:04:47"
